  1	H 	Hydrogen     	  1.0079	4.997320264917e-01	4.500	-1.0
  2	He	Helium       	  4.0026	9.035703632899e-01	1.383	-1.7
  3	Li	Lithium      	  6.9410	1.981413377482e-01	164.0	-1.3
  4	Be	Beryllium    	  9.0122	3.426029358876e-01	37.71	-1.3
  5	B 	Boron        	 10.8110	3.049459021523e-01	20.53	-1.3
  6	C 	Carbon       	 12.0107	4.138084287787e-01	11.26	-1.3
  7	N 	Nitrogen     	 14.0067	5.341183702665e-01	7.600	-1.3
  8	O 	Oxygen       	 15.9994	5.004559882020e-01	5.240	-1.0
  9	F 	Fluorine     	 18.9984	6.402761465436e-01	3.700	-1.3
 10	Ne	Neon         	 20.1797	7.924808275444e-01	2.670	-1.7
 11	Na	Sodium       	 22.9897	1.888584581527e-01	162.7	-1.3
 12	Mg	Magnesium    	 24.3050	2.809926918579e-01	70.76	-1.3
 13	Al	Aluminum     	 26.9815	2.199741119671e-01	46.00	-1.3
 14	Si	Silicon      	 28.0855	2.995694758466e-01	37.31	-1.3
 15	P 	Phosphorus   	 30.9738	3.853791506508e-01	24.93	-1.3
 16	S 	Sulfur       	 32.0650	3.807230111229e-01	19.37	-1.3
 17	Cl	Chlorine     	 35.4530	4.765505520306e-01	14.57	-1.3
 18	Ar	Argon        	 39.9480	5.791546685417e-01	11.07	-1.7
 19	K 	Potassium    	 39.0983	1.595177967549e-01	290.6	-1.3
 20	Ca	Calcium      	 40.0780	2.246559760228e-01	160.8	-1.3
 21	Sc	Scandium     	 44.9559	2.411306985987e-01	120.0	-1.3
 22	Ti	Titanium     	 47.8670	2.509280687498e-01	99.00	-1.3
 23	V 	Vanadium     	 50.9415	2.479182989997e-01	84.00	-1.3
 24	Cr	Chromium     	 51.9961	2.486643103053e-01	78.00	-1.3
 25	Mn	Manganese    	 54.9380	2.731944850085e-01	63.00	-1.3
 26	Fe	Iron         	 55.8450	2.904078690249e-01	57.00	-1.3
 27	Co	Cobalt       	 58.9332	2.896214334613e-01	51.00	-1.3
 28	Ni	Nickel       	 58.6934	2.807574961754e-01	46.00	-1.3
 29	Cu	Copper       	 63.5460	2.839399877548e-01	40.70	-1.3
 30	Zn	Zinc         	 65.3900	3.452305126535e-01	38.80	-1.3
 31	Ga	Gallium      	 69.7230	2.204702278600e-01	51.40	-1.3
 32	Ge	Germanium    	 72.6400	2.902976210487e-01	39.43	-1.3
 33	As	Arsenic      	 74.9216	3.597244465905e-01	29.80	-1.3
 34	Se	Selenium     	 78.9600	3.583941210111e-01	26.24	-1.3
 35	Br	Bromine      	 79.9040	4.341491803864e-01	21.03	-1.3
 36	Kr	Krypton      	 83.8000	5.144758558413e-01	17.08	-1.0
 37	Rb	Rubidium     	 85.4678	1.535056071198e-01	318.8	-1.3
 38	Sr	Strontium    	 87.6200	2.092837332089e-01	190.8	-1.3
 39	Y 	Yttrium      	 88.9059	2.284815807968e-01	153.0	-1.3
 40	Zr	Zirconium    	 91.2240	2.437913497575e-01	121.0	-1.3
 41	Nb	Niobium      	 92.9064	2.483850154323e-01	106.0	-1.3
 42	Mo	Molybdenum   	 95.9400	2.606409154525e-01	86.00	-1.3
 43	Tc	Technetium   	 98.0000	2.675350888972e-01	77.00	-1.3
 44	Ru	Ruthenium    	101.0700	2.704934095917e-01	65.00	-1.3
 45	Rh	Rhodium      	102.9060	2.741095432109e-01	58.00	-1.3
 46	Pd	Palladium    	106.4200	3.063754509103e-01	32.00	-1.3
 47	Ag	Silver       	107.8680	2.784202390800e-01	52.50	-1.3
 48	Cd	Cadmium      	112.4110	3.305160827642e-01	49.65	-1.3
 49	In	Indium       	114.8180	2.126462964828e-01	68.70	-1.3
 50	Sn	Tin          	118.7100	2.698833707901e-01	52.00	-1.3
 51	Sb	Antimony     	121.7600	3.163528927558e-01	45.00	-1.3
 52	Te	Tellurium    	127.6000	3.310967221055e-01	37.00	-1.3
 53	I 	Iodine       	126.9050	3.840782245317e-01	34.60	-1.3
 54	Xe	Xenon        	131.2930	4.457619672122e-01	27.82	-1.7
 55	Cs	Cesium       	132.9060	1.430981981671e-01	401.0	-1.3
 56	Ba	Barium       	137.3270	1.915264591766e-01	275.7	-1.3
 57	La	Lanthanum    	138.9060	2.049473128119e-01	210.0	-1.3
 58	Ce	Cerium       	140.1160	2.035434885817e-01	200.0	-1.3
 59	Pr	Praseodymium 	140.9080	2.011290579030e-01	190.0	-1.3
 60	Nd	Neodymium    	144.2400	2.030400228237e-01	212.0	-1.3
 61	Pm	Promethium   	145.0000	2.051347343714e-01	203.0	-1.3
 62	Sm	Samarium     	150.3600	2.074021677485e-01	194.0	-1.3
 63	Eu	Europium     	151.9640	2.083833747366e-01	187.0	-1.3
 64	Gd	Gadolinium   	157.2500	2.260120261300e-01	159.0	-1.3
 65	Tb	Terbium      	158.9250	2.154906942686e-01	172.0	-1.3
 66	Dy	Dysprosium   	162.5000	2.182505686060e-01	165.0	-1.3
 67	Ho	Holmium      	164.9300	2.212860628838e-01	159.0	-1.3
 68	Er	Erbium       	167.2590	2.244538547331e-01	153.0	-1.3
 69	Tm	Thulium      	168.9340	2.272688530586e-01	147.0	-1.3
 70	Yb	Ytterbium    	173.0400	2.298376309039e-01	141.0	-1.3
 71	Lu	Lutetium     	174.9670	1.993981646768e-01	148.0	-1.3
 72	Hf	Hafnium      	178.4900	2.508178207736e-01	109.0	-1.3
 73	Ta	Tantalum     	180.9480	2.774427070245e-01	88.00	-1.3
 74	W 	Tungsten     	183.8400	2.889966949296e-01	75.00	-1.3
 75	Re	Rhenium      	186.2070	2.878758405049e-01	65.00	-1.3
 76	Os	Osmium       	190.2300	3.100981575731e-01	57.00	-1.3
 77	Ir	Iridium      	192.2170	3.295312008435e-01	51.00	-1.3
 78	Pt	Platinum     	195.0780	3.292261814427e-01	44.00	-1.3
 79	Au	Gold         	196.9670	3.390309014589e-01	36.10	-1.3
 80	Hg	Mercury      	200.5900	3.835710838412e-01	33.91	-1.3
 81	Tl	Thallium     	204.3830	2.244722293958e-01	51.00	-1.3
 82	Pb	Lead         	207.2000	2.725587216791e-01	47.10	-1.3
 83	Bi	Bismuth      	208.9800	2.677408851194e-01	50.00	-1.3
 84	Po	Polonium     	209.0000	3.093190718746e-01	46.00	-1.3
 85	At	Astatine     	210.0000	3.417687262010e-01	43.00	-1.3
 86	Rn	Radon        	222.0000	3.950001240400e-01	32.60	-1.7
 87	Fr	Francium     	223.0000	1.496689775483e-01	317.8	-1.3
 88	Ra	Radium       	226.0000	1.939776391806e-01	242.4	-1.3
 89	Ac	Actinium     	227.0000	1.899940123075e-01	217.0	-1.3
 90	Th	Thorium      	232.0380	2.317669704873e-01	217.0	-1.3
 91	Pa	Protactinium 	231.0360	2.164535265940e-01	171.0	-1.3
 92	U 	Uranium      	238.0290	2.276289964475e-01	137.0	-1.3
 93	Np	Neptunium    	237.0000	2.302602481460e-01	167.0	-1.3
 94	Pu	Plutonium    	244.0000	2.214587847132e-01	165.0	-1.3
 95	Am	Americium    	243.0000	2.195331200623e-01	157.0	-1.3
 96	Cm	Curium       	247.0000	2.201835831219e-01	155.0	-1.3
 97	Bk	Berkelium    	247.0000	2.277686438840e-01	153.0	-1.3
 98	Cf	Californium  	251.0000	2.308482373524e-01	138.0	-1.3
 99	Es	Einsteinium  	252.0000	2.359306690549e-01	133.0	-1.3
100	Fm	Fermium      	257.0000	2.388706150868e-01	161.0	-1.3
101	Md	Mendelevium  	258.0000	2.418105611186e-01	123.0	-1.3
102	No	Nobelium     	259.0000	2.443830138964e-01	110.8	-1.3
103	Lr	Lawrencium   	262.0000	1.800716944500e-01	0.000	-1.3
104	Rf	Rutherfordium	261.0000	1.469973015918e-01	0.000	-1.3
105	Db	Dubnium      	262.0000	1.837466269898e-01	0.000	-1.3
106	Sg	Seaborgium   	266.0000	2.204959523878e-01	0.000	-1.3
107	Bh	Bohrium      	264.0000	2.572452777857e-01	0.000	-1.3
108	Hs	Hassium      	277.0000	2.939946031837e-01	0.000	-1.3
109	Mt	Meitnerium   	268.0000	3.307439285817e-01	0.000	-1.3
  2	H2	MolHydrogen    	  2.0000	5.668910000000e-01	5.417	-1.3
  9	OH	Hydroxyl    	 17.0000	4.740000000000e-01  	8.420	-1.3
 14	N2	MolNitrogen    	 28.0000	5.725900000000e-01	11.80	-1.3
 14	CO	CMonoxide    	 28.0000	5.150000000000e-01	13.20	-1.3
 10	H2O	Water    	 18.0000	4.630000000000e-01	9.800	-1.3
 22	CO2	CDioxide    	 44.0000	5.068000000000e-01	18.00	-1.3
